region,room_availability_bs,price,rating,rating_count,transaction_count,tipe_kos,room_area,is_discount,is_electricity,is_kamar_mandi_dalam,is_kloset_duduk,fac_keamanan,fac_sirkulasi_udara,fac_parkir_motor,fac_parkir_mobil,fac_ruang_bersama,fac_layanan_kebersihan,fac_area_jemur,is_full_furnished,fac_ac,fac_tv,fac_bantal,fac_cermin,fac_shower,fac_air_panas,fac_wifi,fac_kulkas,fac_dapur,fac_dispenser,fac_kipas_angin,fac_kursi,fac_guling,fac_wastafel,fac_ember_mandi,fac_mesin_cuci,fac_bak_mandi
Jakarta Pusat,1.00,875000.00,5.00,3.00,6.00,Kos Putra,8.40,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0
Jakarta Utara,0.00,1313000.00,4.90,1.00,1.00,Kos Campur,10.08,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Jakarta Utara,0.00,1221000.00,4.30,3.00,3.00,Kos Campur,12.96,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Jakarta Utara,0.00,945000.00,5.00,1.00,4.00,Kos Campur,10.08,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Jakarta Utara,0.00,2605000.00,4.90,1.00,4.00,Kos Campur,4.80,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0
Jakarta Barat,0.00,1129000.00,4.80,12.00,25.00,Kos Campur,8.10,1,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
Jakarta Barat,2.00,1345000.00,4.80,16.00,42.00,Kos Putra,10.80,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,0
Jakarta Pusat,0.00,1325000.00,4.60,4.00,7.00,Kos Putra,12.00,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0
Jakarta Pusat,0.00,875000.00,5.00,3.00,9.00,Kos Putra,9.00,1,1,0,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0
Jakarta Selatan,0.00,1350000.00,5.00,15.00,29.00,Kos Putri,8.91,0,1,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Jakarta Pusat,2.00,1355000.00,4.50,12.00,24.00,Kos Putra,7.00,1,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0
Jakarta Timur,0.00,927500.00,4.80,8.00,19.00,Kos Putra,5.67,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1,0,0
Jakarta Timur,1.00,1165000.00,5.00,1.00,2.00,Kos Putra,9.00,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0
Jakarta Pusat,0.00,1900000.00,4.80,19.00,39.00,Kos Campur,12.25,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0
Jakarta Pusat,0.00,1650000.00,4.80,14.00,19.00,Kos Campur,9.00,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,0,0,1,1,1,1,0,0
Jakarta Pusat,1.00,1187500.00,4.60,45.00,76.00,Kos Campur,12.25,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,0,0,1,1,1,0,0,0
Jakarta Selatan,0.00,1405000.00,4.90,3.00,10.00,Kos Campur,8.50,1,0,1,1,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0
Jakarta Selatan,0.00,1165000.00,4.80,4.00,10.00,Kos Campur,9.57,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0
Jakarta Timur,0.00,855000.00,4.40,1.00,10.00,Kos Campur,8.64,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
Jakarta Pusat,0.00,1212500.00,4.50,2.00,5.00,Kos Campur,14.00,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0
Jakarta Pusat,0.00,875000.00,4.60,27.00,50.00,Kos Campur,6.25,1,1,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1
Jakarta Timur,0.00,1105000.00,0.00,0.00,4.00,Kos Campur,7.29,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0
Jakarta Timur,2.00,835000.00,0.00,0.00,2.00,Kos Campur,7.29,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0
Jakarta Selatan,0.00,725000.00,4.90,25.00,44.00,Kos Putra,4.40,1,1,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0
Jakarta Selatan,0.00,1022500.00,4.40,6.00,10.00,Kos Campur,7.50,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Jakarta Selatan,2.00,900000.00,4.60,18.00,29.00,Kos Putri,8.75,1,1,0,1,0,1,1,0,1,1,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0
Jakarta Pusat,0.00,1475000.00,4.60,11.00,23.00,Kos Putri,8.96,1,1,0,0,0,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,0,1,0,0
Jakarta Pusat,0.00,1640000.00,4.80,15.00,34.00,Kos Putri,9.00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jakarta Pusat,0.00,1865000.00,4.80,9.00,15.00,Kos Putri,13.50,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,0,0
Jakarta Barat,1.00,870500.00,4.90,35.00,55.00,Kos Campur,5.00,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0
Jakarta Barat,0.00,805000.00,4.80,23.00,40.00,Kos Campur,3.20,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0
Jakarta Pusat,1.00,1975000.00,0.00,0.00,0.00,Kos Campur,8.64,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0
Jakarta Pusat,0.00,1725000.00,0.00,0.00,0.00,Kos Campur,5.50,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,0,1,0,0
Jakarta Pusat,1.00,1975000.00,4.60,4.00,13.00,Kos Campur,20.00,1,0,1,0,0,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0
Jakarta Pusat,0.00,1690000.00,4.80,12.00,23.00,Kos Campur,9.00,1,0,1,0,0,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0
Jakarta Pusat,3.00,1357500.00,4.80,35.00,57.00,Kos Campur,9.00,1,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0
Jakarta Pusat,2.00,1025000.00,4.80,21.00,37.00,Kos Campur,9.00,1,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0
Jakarta Pusat,1.00,1045000.00,4.80,46.00,84.00,Kos Campur,9.00,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1
