room_name,region,location,room_availability_bs,price,rating,rating_count,transaction_count,tipe_kos,room_area,is_electricity,is_kamar_mandi_dalam,is_kloset_duduk,fac_keamanan,fac_sirkulasi_udara,fac_parkir_motor,fac_parkir_mobil,fac_ruang_bersama,fac_layanan_kebersihan,fac_area_jemur,is_full_furnished,fac_ac,fac_tv,fac_bantal,fac_cermin,fac_shower,fac_air_panas,fac_wifi,fac_kulkas,fac_dapur,fac_dispenser,fac_kipas_angin,fac_kursi,fac_guling,fac_wastafel,fac_ember_mandi,fac_mesin_cuci,fac_bak_mandi,is_discount
Kost Apik Az Zahra Tipe A Kramat Jati Jakarta Timur,Jakarta Timur,Kramat Jati,0.00,853000.00,4.90,2.00,5.00,Kos Putri,8.80,0,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1
Kost Apik Az Zahra Tipe A Kramat Jati Jakarta Timur,Jakarta Timur,Kramat Jati,0.00,853000.00,4.90,2.00,5.00,Kos Putri,8.80,0,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1
Kost Apik Az Zahra Tipe A Kramat Jati Jakarta Timur,Jakarta Timur,Kramat Jati,0.00,853000.00,4.90,2.00,5.00,Kos Putri,8.80,0,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1
Kost Apik Bahari Tipe A Cakung Jakarta Timur,Jakarta Timur,Cakung,0.00,975000.00,4.30,4.00,1.00,Kos Campur,9.00,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Kost Apik Bangau V Tipe A Kemayoran Jakarta Pusat,Jakarta Pusat,Kemayoran,1.00,1525000.00,4.60,22.00,49.00,Kos Campur,10.00,0,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0
Kost Apik Bangau V Tipe B Kemayoran Jakarta Pusat,Jakarta Pusat,Kemayoran,0.00,1275000.00,4.50,7.00,14.00,Kos Campur,10.00,0,0,1,1,1,1,0,0,1,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0
Kost Apik Barakah Tipe A Cilincing Jakarta Utara,Jakarta Utara,Cilincing,1.00,1615000.00,5.00,1.00,1.00,Kos Campur,16.65,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,0,1
Kost Apik Barakah Tipe B Cilincing Jakarta Utara,Jakarta Utara,Cilincing,0.00,1140000.00,0.00,0.00,6.00,Kos Campur,12.00,0,1,0,1,1,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,0,1
Kost Apik Barakah Tipe C Cilincing Jakarta Utara,Jakarta Utara,Cilincing,1.00,1012000.00,4.60,4.00,19.00,Kos Campur,8.75,0,1,0,1,1,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,0,1
Kost Apik Barakah Tipe D Cilincing Jakarta Utara,Jakarta Utara,Cilincing,2.00,1450000.00,0.00,0.00,0.00,Kos Campur,8.75,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1
